Time, Bayside DE  Level 1, Briefings Area, Islander FG  Level 0, Islander HI  Level 0, Jasmine AE  Level 3, Mandalay Bay H  Level 2, Oceanside A  Level 2, Oceanside C  Level 2, Oceanside D  Level 2, Shoreline Ballroom  Level 2, South Pacific F  Level 0, South Seas AB  Level 3, South Seas CD  Level 3
 8:00AM,Wednesday Briefings Breakfast,,,,,,,,,,,,
 9:00AM,,,,,,,,,, Guardians of the AI Era: Navigating the Cybersecurity Landscape of Tomorrow,,,
 10:20AM,,,Reflections on Trust in the Software Supply Chain,Chained to Hit: Discovering New Vectors to Gain Remote and Root Access in SAP Enterprise Software,Civil Cyber Defense: Use Your Resources to Defend Non-Profits as They Combat Human Trafficking and Subvert Authoritarian Regimes,Defender-Pretender: When Windows Defender Updates Become a Security Risk,Smashing the State Machine: The True Potential of Web Race Conditions,A Pain in the NAS: Exploiting Cloud Connectivity to PWN Your NAS,,,Video-Based Cryptanalysis: Recovering Cryptographic Keys from Non-compromised Devices Using Video Footage of a Device's Power LED,Core Escalation: Unleashing the Power of Cross-Core Attacks on Heterogeneous System,"Devising and Detecting Phishing: Large Language Models (GPT3, GPT4) vs. Smaller Human Models (V-Triad, Generic Emails)"
 11:00AM,,Briefings Morning Refreshment Break,,,,,,,,,,,
 11:20AM,,,"Apple PAC, Four Years Later: Reverse Engineering the Customized Pointer Authentication Hardware Implementation on Apple M1",Route to Bugs: Analyzing the Security of BGP Message Parsing,Risks of AI Risk Policy: Five Lessons,Redacted Telecom Talk,"Fast, Ever-Evolving Defenders: The Resilience Revolution",BingBang: Hacking Bing.com (and much more) with Azure Active Directory,,,Jailbreaking an Electric Vehicle in 2023 or What It Means to Hotwire Tesla's x86-Based Seat Heater,Lost Control: Breaking Hardware-Assisted Kernel Control-Flow Integrity with Page-Oriented Programming,Badge of Shame: Breaking into Secure Facilities with OSDP
 12:00PM,Wednesday Briefings Lunch,,,,,,,,,,,,
 1:30PM,,,Becoming a Dark Knight: Adversary Emulation Demonstration for ATT&CK Evaluations,Windows Agentless C2: (Ab)using the MDM Client Stack,"Small Leaks, Billions Of Dollars: Practical Cryptographic Exploits That Undermine Leading Crypto Wallets",dr1v3by! Broken 802.11 Wifi Driver Leads to Millions of Vulnerable Cars,Weaponizing Plain Text: ANSI Escape Sequences as a Forensic Nightmare,Hot Topics in Cyber and Privacy Regulation,The Integration Cyber Security and Insurance: The Journey of Cysurance,,"Single Instruction Multiple Data Leaks in Cutting-edge CPUs, AKA Downfall",Physical Attacks Against Smartphones,I Watched You Roll the Die: Unparalleled RDP Monitoring Reveal Attackers' Tradecraft
 2:30PM,,,Cookie Crumbles: Unveiling Web Session Integrity Vulnerabilities,A Manufacturer's Post-Shipment Approach to Fend-Off IoT Malware in Home Appliances,Identifying and Reducing Permission Explosion in AWS: A Graph-Based and Analytical Approach,The Most Dangerous Codec in the World: Finding and Exploiting Vulnerabilities in H.264 Decoders,Second Breakfast: Implicit and Mutation-Based Serialization Vulnerabilities in .NET,HARry Parser and the Cursed Tracker: Breaking the Spell of Online Data Collection,Leverage and Demonstrate Value with your Cyber Insurance Renewal,,BTD: Unleashing the Power of Decompilation for x86 Deep Neural Network Executables,From Dead Data to Digestion: Extracting Windows Fibers for Your Digital Forensics Diet,MaginotDNS: Attacking the Boundary of DNS Caching Protection
 3:00PM,,Briefings Afternoon Refreshment Break,,,,,,,,,,,
 3:20PM,,,Dismantling DDoS - Lessons in Scaling,Shuffle Up and Deal: Analyzing the Security of Automated Card Shufflers,Bad io_uring: A New Era of Rooting for Android,Close Encounters of the Advanced Persistent Kind: Leveraging Rootkits for Post-Exploitation,Nothing but Net: Leveraging macOS's Networking Frameworks to Heuristically Detect Malware,"Over the Air, Under the Radar: Attacking and Securing the Pixel Modem",Why Cyber Insurance Should be Your SOC's New Best Friend,,A SSLippery Slope: Unraveling the Hidden Dangers of Certificate Misuse,Diversity Microtalks: Perspectives on Creating Change,Exploiting OPC-UA in Every Possible Way: Practical Attacks Against Modern OPC-UA Architectures
 4:20PM,,,,,,,,,Bridging Cyber and Insurance, Phoenix Soaring: What We Can Learn from Ukraine's Cyber Defenders about Building a More Resilient Future,,,
